Total Words are: 8967
----------------------------------------------
Word            	Freq.	Probability
----------------------------------------------
the             	3393	0.3783874205
of              	1885	0.2102152336
and             	1359	0.1515557042
in              	1090	0.1215568194
a               	776	0.0865395338
to              	697	0.0777294524
india           	598	0.0666889707
on              	543	0.0605553697
from            	522	0.0582134493
retrieved       	436	0.0486227278
s               	423	0.0471729675
game            	359	0.0400356864
thrones         	356	0.0397011264
for             	345	0.0384744062
original        	325	0.0362440058
by              	320	0.0356864057
2016            	314	0.0350172856
archived        	309	0.0344596855
season          	303	0.0337905654
was             	297	0.0331214453
with            	277	0.0308910449
as              	274	0.0305564849
is              	251	0.0279915245
1               	249	0.0277684844
2011            	232	0.0258726441
indian          	230	0.0256496041
t               	219	0.0244228839
mughal          	205	0.0228616037
series          	197	0.0219694435
2               	190	0.0211888034
august          	190	0.0211888034
co              	180	0.0200736032
2013            	178	0.0198505632
april           	178	0.0198505632
2012            	172	0.0191814431
https           	169	0.0188468830
2015            	161	0.0179547229
may             	157	0.0175086428
july            	157	0.0175086428
empire          	151	0.0168395227
p               	150	0.0167280027
it              	149	0.0166164827
2014            	142	0.0158358425
3               	141	0.0157243225
6               	139	0.0155012825
4               	137	0.0152782424
its             	136	0.0151667224
world           	134	0.0149436824
were            	134	0.0149436824
which           	134	0.0149436824
that            	130	0.0144976023
2017            	129	0.0143860823
5               	126	0.0140515222
june            	126	0.0140515222
has             	125	0.0139400022
21              	122	0.0136054422
march           	118	0.0131593621
isbn            	115	0.0128248021
7               	112	0.0124902420
978             	111	0.0123787220
at              	105	0.0117096019
hbo             	102	0.0113750418
an              	98	0.0109289617
8               	96	0.0107059217
0               	95	0.0105944017
2010            	94	0.0104828817
first           	94	0.0104828817
century         	92	0.0102598416
his             	90	0.0100368016
b               	88	0.0098137616
also            	86	0.0095907215
new             	84	0.0093676815
most            	84	0.0093676815
r               	83	0.0092561615
pp              	82	0.0091446415
are             	79	0.0088100814
british         	78	0.0086985614
2009            	77	0.0085870414
had             	75	0.0083640013
september       	75	0.0083640013
9               	74	0.0082524813
during          	73	0.0081409613
10              	73	0.0081409613
bengal          	72	0.0080294413
this            	70	0.0078064012
than            	69	0.0076948812
television      	69	0.0076948812
2007            	69	0.0076948812
after           	69	0.0076948812
19              	68	0.0075833612
18              	66	0.0073603212
24              	66	0.0073603212
23              	66	0.0073603212
2008            	66	0.0073603212
or              	66	0.0073603212
million         	65	0.0072488012
january         	65	0.0072488012
have            	65	0.0072488012
under           	65	0.0072488012
more            	64	0.0071372811
october         	63	0.0070257611
17              	63	0.0070257611
one             	62	0.0069142411
economic        	61	0.0068027211
25              	61	0.0068027211
martin          	60	0.0066912011
29              	60	0.0066912011
other           	60	0.0066912011
15              	59	0.0065796811
11              	58	0.0064681610
about           	58	0.0064681610
time            	57	0.0063566410
12              	57	0.0063566410
show            	57	0.0063566410
