Total Words are: 1686
----------------------------------------------
Word            	Freq.	Probability
----------------------------------------------
the             	485	0.2876631079
of              	217	0.1287069988
and             	184	0.1091340451
in              	179	0.1061684460
to              	116	0.0688018980
mughal          	99	0.0587188612
a               	92	0.0545670225
india           	71	0.0421115065
was             	70	0.0415183867
empire          	64	0.0379596679
by              	51	0.0302491103
as              	48	0.0284697509
s               	44	0.0260972716
indian          	39	0.0231316726
were            	38	0.0225385528
for             	35	0.0207591934
century         	34	0.0201660735
from            	34	0.0201660735
with            	32	0.0189798339
bengal          	31	0.0183867141
his             	30	0.0177935943
which           	29	0.0172004745
british         	25	0.0148279953
its             	22	0.0130486358
during          	22	0.0130486358
subah           	22	0.0130486358
18th            	20	0.0118623962
had             	20	0.0118623962
cotton          	20	0.0118623962
textiles        	20	0.0118623962
45              	20	0.0118623962
akbar           	19	0.0112692764
world           	19	0.0112692764
than            	18	0.0106761566
at              	18	0.0106761566
under           	17	0.0100830368
also            	17	0.0100830368
europe          	17	0.0100830368
trade           	16	0.0094899170
shah            	16	0.0094899170
an              	15	0.0088967972
new             	14	0.0083036773
emperor         	14	0.0083036773
but             	14	0.0083036773
mughals         	14	0.0083036773
he              	14	0.0083036773
over            	13	0.0077105575
time            	13	0.0077105575
early           	13	0.0077105575
asia            	12	0.0071174377
reign           	12	0.0071174377
after           	12	0.0071174377
economy         	12	0.0071174377
such            	12	0.0071174377
up              	12	0.0071174377
crops           	11	0.0065243179
era             	11	0.0065243179
that            	11	0.0065243179
delhi           	11	0.0065243179
on              	11	0.0065243179
aurangzeb       	11	0.0065243179
rule            	11	0.0065243179
east            	10	0.0059311981
european        	10	0.0059311981
until           	10	0.0059311981
most            	10	0.0059311981
became          	10	0.0059311981
economic        	10	0.0059311981
led             	10	0.0059311981
including       	10	0.0059311981
dynasty         	9	0.0053380783
industrial      	9	0.0053380783
it              	9	0.0053380783
manufacturing   	9	0.0053380783
66              	9	0.0053380783
central         	9	0.0053380783
or              	9	0.0053380783
17th            	9	0.0053380783
large           	9	0.0053380783
more            	9	0.0053380783
province        	9	0.0053380783
sector          	9	0.0053380783
decline         	9	0.0053380783
textile         	9	0.0053380783
into            	9	0.0053380783
subcontinent    	9	0.0053380783
who             	9	0.0053380783
mongol          	9	0.0053380783
babur           	9	0.0053380783
bengali         	8	0.0047449585
persian         	8	0.0047449585
rajput          	8	0.0047449585
company         	8	0.0047449585
through         	8	0.0047449585
higher          	8	0.0047449585
some            	8	0.0047449585
control         	8	0.0047449585
hindu           	8	0.0047449585
japan           	7	0.0041518387
before          	7	0.0041518387
silver          	7	0.0041518387
however         	7	0.0041518387
is              	7	0.0041518387
son             	7	0.0041518387
one             	7	0.0041518387
only            	7	0.0041518387
across          	7	0.0041518387
rupee           	7	0.0041518387
gdp             	7	0.0041518387
4               	7	0.0041518387
industry        	7	0.0041518387
shipbuilding    	7	0.0041518387
religious       	7	0.0041518387
reigned         	7	0.0041518387
emperors        	7	0.0041518387
used            	7	0.0041518387
system          	7	0.0041518387
growth          	7	0.0041518387
production      	6	0.0035587189
then            	6	0.0035587189
humayun         	6	0.0035587189
subahs          	6	0.0035587189
terms           	6	0.0035587189
cultural        	6	0.0035587189
did             	6	0.0035587189
muslim          	6	0.0035587189
goods           	6	0.0035587189
form            	6	0.0035587189
region          	6	0.0035587189
around          	6	0.0035587189
t               	6	0.0035587189
output          	6	0.0035587189
silks           	6	0.0035587189
maratha         	6	0.0035587189
late            	6	0.0035587189
food            	6	0.0035587189
leading         	6	0.0035587189
labour          	6	0.0035587189
silk            	6	0.0035587189
