Total Words are: 4664
----------------------------------------------
Word            	Freq.	Probability
----------------------------------------------
the             	995	0.2133361921
of              	602	0.1290737564
and             	498	0.1067753002
india           	448	0.0960548885
in              	399	0.0855488851
a               	217	0.0465265866
to              	209	0.0448113208
2011            	152	0.0325900515
retrieved       	152	0.0325900515
indian          	148	0.0317324185
s               	146	0.0313036021
p               	145	0.0310891938
by              	128	0.0274442539
1               	127	0.0272298456
is              	122	0.0261578045
isbn            	112	0.0240137221
978             	108	0.0231560892
as              	95	0.0203687822
from            	89	0.0190823328
0               	86	0.0184391081
pp              	80	0.0171526587
world           	80	0.0171526587
july            	80	0.0171526587
for             	73	0.0156518010
with            	72	0.0154373928
2010            	71	0.0152229846
on              	70	0.0150085763
was             	69	0.0147941681
it              	63	0.0135077187
2               	58	0.0124356775
2007            	53	0.0113636364
2009            	53	0.0113636364
has             	52	0.0111492281
metcalf         	52	0.0111492281
2008            	49	0.0105060034
pdf             	49	0.0105060034
its             	47	0.0100771870
2006            	46	0.0098627787
3               	43	0.0092195540
are             	43	0.0092195540
9               	43	0.0092195540
south           	43	0.0092195540
6               	42	0.0090051458
8               	42	0.0090051458
which           	42	0.0090051458
government      	42	0.0090051458
press           	41	0.0087907376
economic        	40	0.0085763293
national        	40	0.0085763293
an              	40	0.0085763293
7               	39	0.0083619211
5               	38	0.0081475129
history         	37	0.0079331046
ed              	37	0.0079331046
4               	36	0.0077186964
2012            	35	0.0075042882
january         	34	0.0072898799
october         	34	0.0072898799
23              	34	0.0072898799
states          	33	0.0070754717
that            	32	0.0068610635
population      	32	0.0068610635
september       	32	0.0068610635
largest         	32	0.0068610635
international   	31	0.0066466552
university      	31	0.0066466552
june            	30	0.0064322470
k               	29	0.0062178388
may             	29	0.0062178388
or              	29	0.0062178388
at              	29	0.0062178388
c               	29	0.0062178388
81              	29	0.0062178388
2004            	28	0.0060034305
1998            	27	0.0057890223
were            	27	0.0057890223
state           	27	0.0057890223
10              	26	0.0055746141
august          	26	0.0055746141
most            	26	0.0055746141
country         	25	0.0053602058
million         	25	0.0053602058
17              	25	0.0053602058
2003            	25	0.0053602058
24              	25	0.0053602058
this            	25	0.0053602058
times           	25	0.0053602058
census          	24	0.0051457976
b               	24	0.0051457976
culture         	24	0.0051457976
2017            	24	0.0051457976
have            	24	0.0051457976
nuclear         	24	0.0051457976
under           	23	0.0049313894
asia            	23	0.0049313894
british         	23	0.0049313894
15              	23	0.0049313894
also            	23	0.0049313894
march           	23	0.0049313894
d               	23	0.0049313894
united          	23	0.0049313894
new             	22	0.0047169811
m               	22	0.0047169811
union           	22	0.0047169811
language        	22	0.0047169811
first           	22	0.0047169811
century         	22	0.0047169811
2013            	22	0.0047169811
j               	22	0.0047169811
2001            	22	0.0047169811
report          	21	0.0045025729
between         	21	0.0045025729
article         	21	0.0045025729
2005            	21	0.0045025729
v               	21	0.0045025729
25              	21	0.0045025729
political       	21	0.0045025729
main            	21	0.0045025729
military        	20	0.0042881647
economy         	20	0.0042881647
congress        	20	0.0042881647
original        	20	0.0042881647
two             	20	0.0042881647
20              	20	0.0042881647
22              	20	0.0042881647
oxford          	20	0.0042881647
during          	20	0.0042881647
other           	20	0.0042881647
asian           	19	0.0040737564
stein           	19	0.0040737564
such            	19	0.0040737564
all             	19	0.0040737564
since           	19	0.0040737564
27              	19	0.0040737564
april           	19	0.0040737564
2014            	19	0.0040737564
east            	18	0.0038593482
12              	18	0.0038593482
26              	18	0.0038593482
archived        	18	0.0038593482
more            	18	0.0038593482
into            	18	0.0038593482
us              	18	0.0038593482
2002            	18	0.0038593482
include         	18	0.0038593482
their           	18	0.0038593482
r               	18	0.0038593482
literature      	17	0.0036449400
republic        	17	0.0036449400
14              	17	0.0036449400
19              	17	0.0036449400
power           	17	0.0036449400
social          	17	0.0036449400
be              	17	0.0036449400
over            	16	0.0034305317
urban           	16	0.0034305317
december        	16	0.0034305317
years           	16	0.0034305317
ministry        	16	0.0034305317
many            	16	0.0034305317
period          	16	0.0034305317
party           	16	0.0034305317
among           	16	0.0034305317
november        	16	0.0034305317
major           	16	0.0034305317
modern          	16	0.0034305317
development     	16	0.0034305317
2016            	16	0.0034305317
singh           	16	0.0034305317
empire          	16	0.0034305317
north           	16	0.0034305317
13              	15	0.0032161235
one             	15	0.0032161235
than            	15	0.0032161235
21              	15	0.0032161235
february        	15	0.0032161235
pakistan        	15	0.0032161235
sharma          	15	0.0032161235
e               	15	0.0032161235
subcontinent    	15	0.0032161235
centre          	15	0.0032161235
regional        	14	0.0030017153
after           	14	0.0030017153
bank            	14	0.0030017153
western         	14	0.0030017153
nations         	14	0.0030017153
2nd             	14	0.0030017153
no              	14	0.0030017153
11              	14	0.0030017153
18              	14	0.0030017153
gdp             	14	0.0030017153
central         	14	0.0030017153
29              	14	0.0030017153
became          	14	0.0030017153
popular         	14	0.0030017153
30              	14	0.0030017153
2015            	14	0.0030017153
hindu           	14	0.0030017153
but             	14	0.0030017153
official        	14	0.0030017153
bce             	14	0.0030017153
architecture    	13	0.0027873070
n               	13	0.0027873070
billion         	13	0.0027873070
1st             	13	0.0027873070
west            	13	0.0027873070
industry        	13	0.0027873070
general         	13	0.0027873070
defence         	13	0.0027873070
number          	13	0.0027873070
both            	13	0.0027873070
growth          	13	0.0027873070
increased       	13	0.0027873070
second          	12	0.0025728988
president       	12	0.0025728988
people          	12	0.0025728988
global          	12	0.0025728988
constitution    	12	0.0025728988
market          	12	0.0025728988
non             	12	0.0025728988
16              	12	0.0025728988
tamil           	12	0.0025728988
