Total Words are: 1118
----------------------------------------------
Word            	Freq.	Probability
----------------------------------------------
t               	181	0.1618962433
https           	168	0.1502683363
co              	165	0.1475849732
the             	53	0.0474060823
of              	45	0.0402504472
to              	44	0.0393559928
in              	33	0.0295169946
amp             	28	0.0250447227
for             	26	0.0232558140
you             	25	0.0223613596
on              	24	0.0214669052
a               	22	0.0196779964
is              	20	0.0178890877
s               	18	0.0161001789
eklevelup       	16	0.0143112701
and             	15	0.0134168157
danceplus3      	15	0.0134168157
with            	14	0.0125223614
by              	13	0.0116279070
it              	12	0.0107334526
rt              	10	0.0089445438
that            	10	0.0089445438
all             	9	0.0080500894
this            	9	0.0080500894
india           	9	0.0080500894
your            	8	0.0071556351
at              	8	0.0071556351
are             	7	0.0062611807
will            	7	0.0062611807
love            	6	0.0053667263
from            	6	0.0053667263
how             	6	0.0053667263
cbi             	6	0.0053667263
2               	6	0.0053667263
has             	6	0.0053667263
her             	6	0.0053667263
1               	5	0.0044722719
birthday        	5	0.0044722719
fir             	5	0.0044722719
now             	5	0.0044722719
one             	5	0.0044722719
performance     	5	0.0044722719
don             	5	0.0044722719
be              	5	0.0044722719
he              	5	0.0044722719
dance           	4	0.0035778175
did             	4	0.0035778175
indian          	4	0.0035778175
me              	4	0.0035778175
president       	4	0.0035778175
sir             	4	0.0035778175
so              	4	0.0035778175
thank           	4	0.0035778175
not             	4	0.0035778175
our             	4	0.0035778175
vote            	4	0.0035778175
was             	4	0.0035778175
tonight         	4	0.0035778175
have            	4	0.0035778175
most            	4	0.0035778175
10              	4	0.0035778175
ji              	4	0.0035778175
cm              	4	0.0035778175
if              	4	0.0035778175
posterboys      	4	0.0035778175
govt            	4	0.0035778175
8pm             	4	0.0035778175
us              	4	0.0035778175
as              	4	0.0035778175
star            	4	0.0035778175
u               	4	0.0035778175
forget          	3	0.0026833631
four            	3	0.0026833631
battle          	3	0.0026833631
tv              	3	0.0026833631
nsaina          	3	0.0026833631
iamsunnydeol    	3	0.0026833631
yadavtejashwi   	3	0.0026833631
bahut           	3	0.0026833631
today           	3	0.0026833631
more            	3	0.0026833631
akshaykumar     	3	0.0026833631
heart           	3	0.0026833631
watching        	3	0.0026833631
dcmchownamein   	3	0.0026833631
lipsingbattle   	3	0.0026833631
2017            	3	0.0026833631
then            	3	0.0026833631
them            	3	0.0026833631
10pm            	3	0.0026833631
bihar           	3	0.0026833631
srisri          	3	0.0026833631
starts          	3	0.0026833631
miss            	3	0.0026833631
top             	3	0.0026833631
their           	3	0.0026833631
see             	3	0.0026833631
any             	3	0.0026833631
find            	3	0.0026833631
