Total Words are: 4331
----------------------------------------------
Word            	Freq.	Probability
----------------------------------------------
the             	1373	0.3170168552
of              	803	0.1854075271
and             	475	0.1096744401
on              	427	0.0985915493
from            	359	0.0828907873
a               	357	0.0824290002
thrones         	356	0.0821981067
game            	355	0.0819672131
original        	303	0.0699607481
season          	302	0.0697298545
in              	301	0.0694989610
2016            	298	0.0688062803
archived        	291	0.0671900254
retrieved       	284	0.0655737705
to              	211	0.0487185408
series          	191	0.0441006696
for             	176	0.0406372662
s               	172	0.0397136920
august          	164	0.0378665435
april           	159	0.0367120757
2013            	156	0.0360193951
2015            	147	0.0339413530
2012            	137	0.0316324175
with            	124	0.0286308012
may             	123	0.0283999076
2014            	123	0.0283999076
2               	119	0.0274763334
1               	113	0.0260909721
hbo             	102	0.0235511429
2017            	102	0.0235511429
21              	99	0.0228584622
june            	96	0.0221657816
is              	95	0.0219348880
march           	95	0.0219348880
3               	93	0.0214731009
6               	91	0.0210113138
4               	88	0.0203186331
was             	84	0.0193950589
5               	84	0.0193950589
2011            	80	0.0184714846
as              	78	0.0180096975
by              	77	0.0177788040
july            	77	0.0177788040
7               	69	0.0159316555
that            	66	0.0152389748
b               	64	0.0147771877
r               	63	0.0145462942
first           	61	0.0140845070
television      	61	0.0140845070
martin          	59	0.0136227199
has             	57	0.0131609328
it              	56	0.0129300393
tv              	52	0.0120064650
show            	51	0.0117755715
19              	45	0.0103902101
18              	45	0.0103902101
its             	45	0.0103902101
8               	45	0.0103902101
episode         	44	0.0101593166
29              	42	0.0096975294
drama           	42	0.0096975294
edit            	42	0.0096975294
10              	41	0.0094666359
september       	41	0.0094666359
outstanding     	41	0.0094666359
november        	40	0.0092357423
december        	38	0.0087739552
11              	38	0.0087739552
17              	36	0.0083121681
benioff         	35	0.0080812745
george          	35	0.0080812745
12              	35	0.0080812745
16              	35	0.0080812745
since           	35	0.0080812745
fantasy         	34	0.0078503810
million         	34	0.0078503810
24              	34	0.0078503810
most            	34	0.0078503810
ext             	34	0.0078503810
new             	33	0.0076194874
characters      	33	0.0076194874
episodes        	33	0.0076194874
fire            	33	0.0076194874
about           	33	0.0076194874
15              	32	0.0073885939
at              	32	0.0073885939
been            	31	0.0071577003
based           	31	0.0071577003
other           	31	0.0071577003
not             	30	0.0069268067
january         	30	0.0069268067
were            	30	0.0069268067
weekly          	30	0.0069268067
two             	30	0.0069268067
20              	30	0.0069268067
entertainment   	30	0.0069268067
which           	30	0.0069268067
award           	29	0.0066959132
after           	29	0.0066959132
13              	29	0.0066959132
14              	29	0.0066959132
october         	29	0.0066959132
25              	29	0.0066959132
are             	29	0.0066959132
9               	29	0.0066959132
february        	29	0.0066959132
david           	29	0.0066959132
have            	29	0.0066959132
ice             	28	0.0064650196
one             	28	0.0064650196
an              	28	0.0064650196
song            	28	0.0064650196
23              	28	0.0064650196
seasons         	28	0.0064650196
main            	27	0.0062341261
26              	27	0.0062341261
27              	27	0.0062341261
22              	27	0.0062341261
also            	27	0.0062341261
novels          	27	0.0062341261
weiss           	26	0.0060032325
reviews         	26	0.0060032325
cast            	26	0.0060032325
30              	26	0.0060032325
this            	26	0.0060032325
emmy            	26	0.0060032325
more            	25	0.0057723390
who             	25	0.0057723390
scenes          	24	0.0055414454
t               	24	0.0055414454
28              	24	0.0055414454
d               	24	0.0055414454
be              	24	0.0055414454
2009            	24	0.0055414454
second          	23	0.0053105518
awards          	23	0.0053105518
set             	23	0.0053105518
ireland         	23	0.0053105518
2010            	23	0.0053105518
hollywood       	22	0.0050796583
time            	22	0.0050796583
ready           	22	0.0050796583
northern        	22	0.0050796583
their           	22	0.0050796583
reporter        	21	0.0048487647
best            	21	0.0048487647
had             	21	0.0048487647
true            	21	0.0048487647
all             	21	0.0048487647
each            	20	0.0046178712
men             	20	0.0046178712
times           	20	0.0046178712
hibberd         	20	0.0046178712
viewers         	20	0.0046178712
his             	20	0.0046178712
used            	20	0.0046178712
e               	20	0.0046178712
template        	20	0.0046178712
i               	20	0.0046178712
james           	20	0.0046178712
filming         	19	0.0043869776
or              	19	0.0043869776
stark           	19	0.0043869776
v               	19	0.0043869776
american        	19	0.0043869776
31              	19	0.0043869776
out             	19	0.0043869776
sopranos        	19	0.0043869776
four            	18	0.0041560840
they            	18	0.0041560840
york            	18	0.0041560840
percent         	18	0.0041560840
received        	17	0.0039251905
according       	17	0.0039251905
violence        	17	0.0039251905
per             	17	0.0039251905
2008            	17	0.0039251905
united          	17	0.0039251905
articles        	17	0.0039251905
dragons         	16	0.0036942969
lannister       	16	0.0036942969
than            	16	0.0036942969
world           	16	0.0036942969
u               	16	0.0036942969
story           	16	0.0036942969
sex             	16	0.0036942969
c               	16	0.0036942969
2007            	16	0.0036942969
high            	16	0.0036942969
including       	16	0.0036942969
false           	16	0.0036942969
post            	15	0.0034634034
actor           	15	0.0034634034
average         	15	0.0034634034
king            	15	0.0034634034
up              	15	0.0034634034
scene           	15	0.0034634034
wikipedia       	15	0.0034634034
writers         	14	0.0032325098
production      	14	0.0032325098
said            	14	0.0032325098
westeros        	14	0.0032325098
news            	14	0.0032325098
guardian        	14	0.0032325098
breaking        	14	0.0032325098
how             	14	0.0032325098
fifth           	14	0.0032325098
title           	14	0.0032325098
list            	14	0.0032325098
primetime       	14	0.0032325098
mad             	14	0.0032325098
daenerys        	14	0.0032325098
blood           	14	0.0032325098
nominations     	14	0.0032325098
over            	13	0.0030016163
writing         	13	0.0030016163
effects         	13	0.0030016163
bad             	13	0.0030016163
metacritic      	13	0.0030016163
fair            	13	0.0030016163
seven           	13	0.0030016163
winter          	13	0.0030016163
shows           	13	0.0030016163
daily           	13	0.0030016163
sixth           	13	0.0030016163
finale          	13	0.0030016163
fan             	13	0.0030016163
states          	13	0.0030016163
part            	13	0.0030016163
dothraki        	13	0.0030016163
ray             	13	0.0030016163
000             	13	0.0030016163
dvd             	13	0.0030016163
rotten          	13	0.0030016163
dubrovnik       	13	0.0030016163
tomatoes        	13	0.0030016163
throne          	13	0.0030016163
dinklage        	13	0.0030016163
100             	12	0.0027707227
would           	12	0.0027707227
