Total Words are: 1607
----------------------------------------------
Word            	Freq.	Probability
----------------------------------------------
the             	487	0.3030491599
of              	218	0.1356565028
and             	187	0.1163658992
in              	178	0.1107654014
to              	117	0.0728064717
mughal          	99	0.0616054760
a               	88	0.0547604231
india           	70	0.0435594275
was             	70	0.0435594275
empire          	65	0.0404480398
by              	51	0.0317361543
as              	49	0.0304915993
s               	43	0.0267579340
indian          	39	0.0242688239
were            	38	0.0236465464
for             	35	0.0217797138
with            	35	0.0217797138
century         	35	0.0217797138
from            	34	0.0211574362
his             	31	0.0192906036
which           	31	0.0192906036
bengal          	30	0.0186683261
british         	25	0.0155569384
during          	23	0.0143123833
had             	22	0.0136901058
its             	22	0.0136901058
18th            	21	0.0130678283
textiles        	21	0.0130678283
cotton          	20	0.0124455507
45              	20	0.0124455507
akbar           	19	0.0118232732
than            	19	0.0118232732
world           	19	0.0118232732
at              	18	0.0112009956
europe          	18	0.0112009956
under           	17	0.0105787181
also            	17	0.0105787181
subah           	17	0.0105787181
trade           	16	0.0099564406
shah            	16	0.0099564406
new             	14	0.0087118855
emperor         	14	0.0087118855
but             	14	0.0087118855
mughals         	14	0.0087118855
over            	13	0.0080896080
time            	13	0.0080896080
early           	13	0.0080896080
an              	13	0.0080896080
asia            	12	0.0074673304
reign           	12	0.0074673304
after           	12	0.0074673304
such            	12	0.0074673304
crops           	11	0.0068450529
era             	11	0.0068450529
european        	11	0.0068450529
economy         	11	0.0068450529
that            	11	0.0068450529
delhi           	11	0.0068450529
on              	11	0.0068450529
aurangzeb       	11	0.0068450529
up              	11	0.0068450529
he              	11	0.0068450529
rule            	11	0.0068450529
until           	10	0.0062227754
east            	10	0.0062227754
through         	10	0.0062227754
most            	10	0.0062227754
sector          	10	0.0062227754
became          	10	0.0062227754
economic        	10	0.0062227754
led             	10	0.0062227754
including       	10	0.0062227754
dynasty         	9	0.0056004978
industrial      	9	0.0056004978
it              	9	0.0056004978
bengali         	9	0.0056004978
66              	9	0.0056004978
central         	9	0.0056004978
17th            	9	0.0056004978
large           	9	0.0056004978
more            	9	0.0056004978
province        	9	0.0056004978
textile         	9	0.0056004978
into            	9	0.0056004978
who             	9	0.0056004978
mongol          	9	0.0056004978
before          	8	0.0049782203
manufacturing   	8	0.0049782203
son             	8	0.0049782203
persian         	8	0.0049782203
across          	8	0.0049782203
rajput          	8	0.0049782203
or              	8	0.0049782203
company         	8	0.0049782203
higher          	8	0.0049782203
some            	8	0.0049782203
control         	8	0.0049782203
subcontinent    	8	0.0049782203
hindu           	8	0.0049782203
babur           	8	0.0049782203
japan           	7	0.0043559428
production      	7	0.0043559428
silver          	7	0.0043559428
however         	7	0.0043559428
is              	7	0.0043559428
one             	7	0.0043559428
only            	7	0.0043559428
rupee           	7	0.0043559428
gdp             	7	0.0043559428
shipbuilding    	7	0.0043559428
religious       	7	0.0043559428
reigned         	7	0.0043559428
decline         	7	0.0043559428
used            	7	0.0043559428
agricultural    	7	0.0043559428
system          	7	0.0043559428
their           	7	0.0043559428
growth          	7	0.0043559428
then            	6	0.0037336652
they            	6	0.0037336652
humayun         	6	0.0037336652
accounted       	6	0.0037336652
subahs          	6	0.0037336652
terms           	6	0.0037336652
did             	6	0.0037336652
muslim          	6	0.0037336652
goods           	6	0.0037336652
form            	6	0.0037336652
region          	6	0.0037336652
4               	6	0.0037336652
around          	6	0.0037336652
output          	6	0.0037336652
maratha         	6	0.0037336652
25              	6	0.0037336652
late            	6	0.0037336652
food            	6	0.0037336652
silks           	6	0.0037336652
leading         	6	0.0037336652
i               	6	0.0037336652
emperors        	6	0.0037336652
silk            	6	0.0037336652
culture         	6	0.0037336652
expanded        	6	0.0037336652
products        	6	0.0037336652
